id,product,category,quantity,unit_price,sale_date
1,Widget B,Electronics,21,49.99,2024-07-16
2,Gadget Y,Home,16,24.99,2024-08-08
3,Drill Set,Hardware,9,89.99,2024-03-16
4,Gadget Y,Home,22,24.99,2024-12-23
5,Headphones,Electronics,1,59.99,2024-06-04
6,Book Alpha,Books,11,9.99,2024-11-23
7,Desk Lamp,Home,9,34.99,2024-09-21
8,Phone Case,Electronics,10,12.99,2024-03-08
9,Headphones,Electronics,4,59.99,2024-09-16
10,Cookbook,Books,25,18.99,2024-08-31
11,Headphones,Electronics,23,59.99,2024-11-21
12,Gadget X,Home,20,14.99,2024-01-27
13,Widget B,Electronics,13,49.99,2024-05-30
14,Gadget Y,Home,13,24.99,2024-10-23
15,Tool Basic,Hardware,22,19.99,2024-06-01
16,Widget B,Electronics,24,49.99,2024-11-24
17,Book Alpha,Books,23,9.99,2024-03-08
18,Widget A,Electronics,24,29.99,2024-11-17
19,Drill Set,Hardware,6,89.99,2024-10-06
20,Gadget X,Home,17,14.99,2024-03-27
21,Drill Set,Hardware,13,89.99,2024-12-25
22,Novel X,Books,25,12.99,2024-03-30
23,Phone Case,Electronics,15,12.99,2024-03-30
24,Desk Lamp,Home,15,34.99,2024-11-22
25,Widget B,Electronics,16,49.99,2024-09-07
26,Widget A,Electronics,15,29.99,2024-07-08
27,Widget B,Electronics,12,49.99,2024-09-26
28,Wrench,Hardware,13,24.99,2024-01-07
29,Gadget Y,Home,20,24.99,2024-08-12
30,Headphones,Electronics,9,59.99,2024-05-21
31,Tool Basic,Hardware,20,19.99,2024-07-10
32,Novel X,Books,9,12.99,2024-01-12
33,Widget B,Electronics,25,49.99,2024-03-20
34,Book Beta,Books,21,14.99,2024-01-31
35,Drill Set,Hardware,6,89.99,2024-05-19
36,Headphones,Electronics,25,59.99,2024-07-28
37,Novel X,Books,5,12.99,2024-06-30
38,Desk Lamp,Home,11,34.99,2024-02-06
39,Book Alpha,Books,9,9.99,2024-09-07
40,Tool Pro,Hardware,21,79.99,2024-07-15
41,Wrench,Hardware,20,24.99,2024-07-06
42,Tool Pro,Hardware,13,79.99,2024-08-31
43,Book Alpha,Books,14,9.99,2024-09-20
44,Novel X,Books,23,12.99,2024-03-02
45,Tool Basic,Hardware,4,19.99,2024-05-07
46,Tool Pro,Hardware,24,79.99,2024-02-02
47,Novel X,Books,1,12.99,2024-04-27
48,Wrench,Hardware,18,24.99,2024-01-30
